,motherBoard,MRP
257,"MSI PRO H510M-B Motherboard, Micro-ATX Motherboard","₹5,999"
258,ASUS ?ROG STRIX Z790-H GAMING WIFI Motherboard,"₹35,519"
259,GIGABYTE B550M-DS3H Motherboard,"₹9,800"
260,Frontech FT- H61 with Nvme slot LGA 1155 Socket Motherboard,"₹2,199"
261,ASUS TUF Gaming B550-PLUS Motherboard,"₹15,926"
262,GEONIX GX-H61 DDR3 Motherboard|2.0 USB| LGA 1155 Support Intel 2nd and 3rd Gen CPU DDR3 Motherboard,"₹1,999"
263,ASUS ROG STRIX X670E A GAMING WIFI Motherboard,"₹41,739"
264,MSI B450M PRO-VDH MAX Mini-ATX AM4 Gaming Motherboard,"₹8,899"
265,GIGABYTE B450M DS3H (AMD Ryzen AM4/M.2/HMDI/DVI/USB 3.1/DDR4/Micro ATX) Motherboard,"₹8,190"
266,ASUS TUF Gaming B560M-Plus Motherboard,"₹14,462"
267,LAPCARE h81 Motherboard,"₹3,299"
268,ASRock B560 Steel Legend Motherboard,"₹11,720"
269,MSI MEG Z590 GODLIKE Motherboard,"₹98,999"
270,ASUS ROG STRIX Z590-F Gaming Wi-Fi Motherboard,"₹29,999"
271,ASRock B550 PG Riptide Motherboard,"₹12,179"
272,ASRock Z690 Pro RS Motherboard,"₹17,999"
273,ASUS Prime Z690-A Motherboard,"₹29,950"
274,Raspberry Pi 4-Model B-8GB RAM Motherboard,"₹8,099"
275,MSI PRO H410M-B Motherboard,"₹6,999"
276,Raspberry Pi 3 Model B+ Kit with Adapter Case LAN-HDMI Cable HeatSink SD Card & RPi 3B Plus Motherboard,"₹5,499"
277,ZEBRONICS ZEB-61 MOTHERBOARD Motherboard,"₹2,225"
278,ASUS Prime Z690-P D4 Motherboard,"₹21,499"
279,ASUS ROG Strix Z490-F Gaming Motherboard,"₹25,719"
280,ASRock H610M-HDV/M.2 Motherboard,"₹7,019"
281,ASUS Prime B550M-K Motherboard,"₹10,384"
282,MSI A320M-A PRO AMD AM4 m-ATX DDR4 Motherboard,"₹5,999"
283,GIGABYTE B650M K Motherboard,"₹14,500"
284,GIGABYTE B550 GAMING X Motherboard,"₹12,205"
285,ZEBRONICS ZEB-H61M2 with PCIE M.2 / NVMe Slot (LGA 1155 Socket) Motherboard,"₹2,299"
286,ZEBRONICS ZEB-H310-NVMe Motherboard,"₹4,999"
287,ZEBRONICS Zeb H110-D4 LGA 1151 Socket Motherboard Motherboard,"₹4,337"
288,ZEB ZEBRONICS H61M2 Motherboard,"₹2,049"
289,EXPERTRONICS Consistent CMB G41-II DDR2 (3 Year Warranty) Motherboard,"₹2,038"
290,ASUS TUF-GAMING-B550M-E Motherboard,"₹13,181"
291,GEONIX Geonix_H61 Motherboard,"₹1,790"
292,ZEBRONICS Zeb H110-D4 Motherboard,"₹3,980"
293,ASUS TUF GAMING X670E PLUS Motherboard,"₹32,952"
294,GIGABYTE B450-Aorus Elite V2 Motherboard,"₹10,043"
295,"Enter E-G41D2 (4SATA, 775LGA, DDR2, 10/100LAN, Intel G41+ICH7 Chipset, 5.1Audio, PCIe) Motherboard","₹1,945"
296,Frontech G41/775 DDR2 Motherboard,"₹1,974"
297,Matrix MXH81 Motherboard,"₹2,591"
298,Ant Value H110MAD4 Motherboard,"₹4,256"
299,MSI PRO B660-A DDR4 Motherboard,"₹24,449"
300,"Enter i3,i5,i7 SUPPORT E-H61 MOTHERBOARD Motherboard","₹2,070"
301,GIGABYTE B450-S2H Motherboard,"₹6,749"
302,ASRock B560 Pro4 Motherboard,"₹9,299"
303,ZEBRONICS ZEB-H81M2 with PCIE M.2 / NVMe Slot (LGA 1150 Socket) Motherboard,"₹2,449"
304,ASRock X570 Phantom Gaming4 Motherboard,"₹14,269"
305,ZEBRONICS Zeb-H61 Motherboard,"₹1,971"
306,ASRock B550 Taichi Motherboard,"₹23,449"
307,ASUS TUF GAMING B660M-PLUS WIFI D4 Motherboard,"₹18,821"
308,ZEBRONICS ZEB-H81 Motherboard,"₹2,478"
309,ASUS Prime H510M-E Motherboard,"₹7,499"
310,ASRock B660 Pro RS Motherboard,"₹11,499"
311,GIGABYTE MBG-B760MAORUSPROAX Motherboard,"₹23,999"
312,MSI MPG X570 GAMING PLUS ATX AM4 Gaming Motherboard,"₹23,699"
313,ASUS ROG STRIX B550-F GAMING WIFI II Motherboard,"₹23,999"
314,ASUS TUF GAMING B660M-PLUS D4 Motherboard,"₹18,999"
315,ASRock Z690 Steel Legend WiFi 6E Motherboard,"₹25,499"
316,MSI MAG B560 TOMAHAWK WIFI Motherboard,"₹20,599"
317,"ZEBRONICS ZEB-H61 LGA 1155 Socket ,128GB SATA 2.5"" SSD Combo Set Motherboard Motherboard","₹3,790"
318,MSI Z590 UNIFY Motherboard,"₹28,844"
319,Cansistant CONSISTENT_H61 Motherboard,"₹1,950"
320,GIGABYTE B560M-H V2 Motherboard,"₹7,149"
321,MSI B560M PRO-E Motherboard,"₹8,499"
322,ASRock Z690 Steel Legend Motherboard,"₹22,499"
323,GIGABYTE B550-Gaming X V2 Motherboard,"₹12,249"
324,Matrix MXH61 Motherboard,"₹1,976"
325,ASUS PRIME X670-P CSM Motherboard,"₹28,149"
326,ASRock Z790 Steel legend WiFi Motherboard,"₹30,299"
327,ASRock Z790 PG- ITX/TB4 Motherboard,"₹38,999"
328,Dtech Gigabyte H81M-S Motherboard,"₹3,499"
329,ZEBRONICS H61+128 SATA GB SSD + 4GB starlite DDR3 RAM with CORE i3 3RD GEN CPU Combo set Motherboard,"₹5,790"
330,GIGABYTE Z790 UD AC Motherboard,"₹26,999"
331,ASRock B650E Steel Legend WiFi Motherboard,"₹27,399"
332,"Raspberry Pi 4 Model B 8GB RAM Kit with 32GB Noobs, LAN-mHDMI Cable, Power Supply, RPi 4B 8GB Motherboard","₹12,999"
333,GIGABYTE B550-DS3H-AC Motherboard,"₹11,000"
334,"Raspberry Pi 4 Model B 2GB RAM Kit with 32GB Noobs, LAN-mHDMI Cable, Power Supply, RPi 4B 2GB Motherboard","₹8,500"
335,MSI MPG B550 Gaming Plus Motherboard,"₹17,999"
336,ASUS TUF GAMING B650M-PLUS WIFI Motherboard,"₹23,161"
337,ASUS EX-B660M-V5 D4 Motherboard,"₹11,924"
338,Dtech H110M4-C2H Motherboard,"₹2,999"
339,MSI MEG Z490I UNIFY Mini-ATX LGA 1200 Gaming Motherboard,"₹19,667"
340,MSI MEG X570 UNIFY ATX AM4 Gaming Motherboard,"₹35,007"
341,ZEBRONICS H61M2+240GB WD SSD + 8GB starlite DDR3 RAM with CORE i5 3RD GEN CPU Combo set Motherboard,"₹7,200"
342,Ant Value H61MAD3 Motherboard,"₹5,499"
343,ASUS TUF GAMING B650M-PLUS Motherboard,"₹21,585"
344,GIGABYTE B550-Aorus Elite AX V2 Motherboard,"₹16,800"
345,ASUS Rog Strix Z690-A Gaming Wifi D4 Motherboard,"₹37,199"
346,MSI MAG B550 TOMAHAWK Motherboard,"₹18,000"
347,ASRock B650 PG Lightning Motherboard,"₹20,799"
348,ASRock B550 Pro4 Motherboard,"₹16,149"
349,ZEBRONICS ZEB-G41 - D2 Motherboard,"₹2,390"
350,ASRock Z690M-ITX/ax Motherboard,"₹21,499"
351,Frontech H61/1155 DDR3 Motherboard,"₹2,059"
352,ASRock Z590 OC Formula Motherboard,"₹55,809"
353,ZEBRONICS G41-D3-COMBO-KIT Motherboard,"₹3,475"
354,ASUS PROART B660-CREATOR D4 Motherboard,"₹25,609"
355,ASRock Z590 Phantom Gaming4/AC Motherboard,"₹15,569"
356,ASRock B650 Pro RS Motherboard,"₹21,949"
357,MSI Z590 PRO WIFI Motherboard,"₹21,699"
358,GEONIX GX-H81 D3 Motherboard,"₹2,690"
359,ZEBRONICS G41 Motherboard,"₹1,999"
360,MSI Z590 PRO WIFI Motherboard,"₹21,699"
361,ASRock B650 Pro RS Motherboard,"₹21,949"
