,motherBoard,MRP
1423,ZEBRONICS ZEB-H61M2 built in NVMe Slot + SCUDA 512GB NVMe SSD Combo Set Motherboard,"₹5,999"
1424,ZEBRONICS H61 kit Motherboard,"₹7,180"
1425,ZEBRONICS ZEB55 Motherboard,"₹2,399"
1426,LAPCARE (LPMH510) Motherboard,"₹7,499"
1427,Enter ENTERG41 Motherboard,"₹2,700"
1428,ZEBRONICS H61M2+ Starlite 256GB NVME SSD & 4GB DDR3 RAM with Core i3(3rd Gen) CPU comboset Motherboard,"₹6,999"
1429,ZEBRONICS H61M2+ Starlite 128GB NVME SSD & 4GB DDR3 RAM with PENTIUM DUALCORE CPU comboset Motherboard,"₹5,850"
1430,KRYSTAA KST-H613 Motherboard,"₹2,430"
1431,ZEBRONICS Zeb-h61m2p Motherboard,"₹2,299"
1432,zebion Marlin H55 Motherboard,"₹3,200"
1433,ZEBRONICS ZEB-H81M2 with NVMe Slot + Starlite 4GB RAM + Scuda 256GB NVMe SSD Combo Set Motherboard,"₹5,800"
1434,ZEBRONICS ZEB H81 MB Motherboard,"₹2,849"
1435,Raspberry Pi Zero 2W A-Tiny Computer Motherboard,"₹2,499"
1436,Frantech Frontech_H61 Motherboard,"₹3,299"
1437,ZEBRONICS H55+128GB SATA SSD + 4GB starlite DDR3 RAM with CORE i3 1ST GEN CPU Combo set Motherboard,"₹6,900"
1438,nVIDIA Jetson Nano 4GB Developer Kit - B01 Model Motherboard,"₹19,500"
1439,ZEBRONICS Zeb-H61M2 Motherboard,"₹2,449"
