,Ram,MRP
196,Crucial CT DDR4 8 GB (Dual Channel) PC Unbuffered (DDR4 2400),"₹1,540"
197,Hynix ddr3 DDR3 4 GB PC (H15201504-11),₹464
198,G.Skill Trident DDR4 16 GB (Dual Channel) PC SDRAM (F4-3600C18D-16GTZR - 2*8GB 3600 MHz Desktop RAM),"₹16,799"
199,simtronics Simmtronics 2GB DDR3 1600 Desktop DDR3 2 GB (Dual Channel) PC (Simmtronics 2GB DDR3 1600 Desktop),₹740
200,BRYT Standard DDR4 8 GB (Dual Channel) PC DRAM (RAM DDR4 Long DIMM | 2666MHz | CL19 | 260 Pins| Non ECC | RAM Memory for Desktop),"₹1,339"
201,G.Skill Trident DDR4 32 GB (Dual Channel) PC SDRAM (F4-3600C18D-32GTZR - 2*16GB 3600 MHz Desktop RAM),"₹28,199"
202,BRYT Standard DDR4 4 GB (Dual Channel) PC DRAM (RAM DDR4 Long DIMM | 2666MHz | CL19 | 260 Pins| Non ECC | RAM Memory for Desktop),₹819
203,simtronics 8GB DDR3 8 GB (Single Channel) PC Dasktop (8GB DDR3 Desktop 1600L),"₹1,075"
204,Crucial CT8G4DFS824A(2400MHz) DDR4 8 GB (Single Channel) PC (CT8G4DFS824A),"₹1,639"
205,"SAMSUNG 2400Mhz Desktop RAM DDR4 4 GB (Single Channel) PC (M378A5244CB0-CRC, PC4-19200)","₹1,619"
206,Crucial CT DDR4 16 GB (Single Channel) PC (CT16G4DFRA266),"₹2,690"
207,BRYT Standard DDR3 4 GB (Dual Channel) PC DRAM (RAM DDR3 Long DIMM | 1600MHz | 240 Pins | RAM Memory for PC and Desktop),₹479
208,Crucial BASIC DDR4 4 GB (Dual Channel) PC (CB4GU2666),"₹1,199"
209,HyperX HX432C16FB3/8 DDR4 8 GB (Single Channel) PC (HX432C16FB3/8),"₹2,650"
